,Unnamed: 0,node,ethcat,agecat,treat,Trade_sex,Group_sex,degree,age.gp1,age.gp2,age.gp3,age.gp4,black,white,other,Tr,NoTr,Trade,NoTrade,Group,NoGroup
941,942,942,white,age.gp3,Tr,NoTrade,Group,20,2,7,6,5,1,18,1,4,16,2,18,16,4
1383,1384,1384,white,age.gp1,NoTr,NoTrade,NoGroup,15,10,4,1,0,2,11,2,7,8,2,13,6,9
1547,1548,1548,white,age.gp3,NoTr,NoTrade,Group,22,4,8,7,3,3,18,1,12,10,4,18,14,8
1717,1718,1718,white,age.gp2,NoTr,NoTrade,Group,21,1,9,8,3,1,20,0,8,13,0,21,15,6
1918,1919,1919,other,age.gp2,NoTr,NoTrade,NoGroup,6,0,3,0,3,0,6,0,3,3,0,6,4,2
1948,1949,1949,white,age.gp4,NoTr,NoTrade,Group,14,1,3,2,8,1,12,1,3,11,1,13,11,3
2162,2163,2163,white,age.gp2,Tr,NoTrade,NoGroup,12,2,8,1,1,2,9,1,4,8,1,11,6,6
2208,2209,2209,black,age.gp2,NoTr,Trade,Group,10,0,6,1,3,7,3,0,2,8,0,10,6,4
2247,2248,2248,white,age.gp4,Tr,NoTrade,Group,7,0,2,1,4,1,6,0,2,5,0,7,5,2
2331,2332,2332,white,age.gp3,Tr,NoTrade,Group,23,2,7,8,6,6,15,2,12,11,3,20,15,8
2596,2597,2597,white,age.gp3,NoTr,NoTrade,Group,18,0,8,6,4,2,16,0,8,10,3,15,16,2
2696,2697,2697,white,age.gp4,NoTr,NoTrade,Group,10,0,5,1,4,4,5,1,5,5,0,10,7,3
2716,2717,2717,white,age.gp4,NoTr,NoTrade,Group,13,2,2,3,6,2,10,1,5,8,1,12,11,2
244,245,245,white,age.gp2,Tr,NoTrade,Group,23,1,8,9,5,3,17,3,8,15,2,21,18,5
280,281,281,white,age.gp2,Tr,NoTrade,Group,27,2,12,8,5,3,23,1,13,14,2,25,19,8
878,879,879,white,age.gp3,NoTr,Trade,Group,15,0,8,3,4,1,12,2,8,7,0,15,11,4
881,882,882,white,age.gp3,NoTr,Trade,Group,20,1,7,4,8,1,16,3,10,10,1,19,14,6
883,884,884,white,age.gp3,NoTr,Trade,Group,19,1,8,5,5,0,18,1,11,8,0,19,15,4
926,927,927,white,age.gp3,NoTr,NoTrade,NoGroup,6,1,3,1,1,1,4,1,4,2,0,6,5,1
1120,1121,1121,other,age.gp1,NoTr,NoTrade,NoGroup,4,2,2,0,0,1,3,0,3,1,1,3,4,0
1135,1136,1136,white,age.gp2,Tr,NoTrade,Group,36,3,16,10,7,7,25,4,15,21,3,33,21,15
