,node,treat,degree,size_comm_tr,size_comm_no_tr,old_label,type_comm_tr,type_comm_no_tr
114,115,NoTr,17,2522,2604,14,large,large
115,116,Tr,25,2522,2604,15,large,large
116,117,Tr,15,2522,2604,16,large,large
117,118,Tr,10,2522,2604,17,large,large
118,119,NoTr,10,2522,2604,18,large,large
119,120,NoTr,7,2522,2604,19,large,large
120,121,Tr,12,2522,2604,20,large,large
121,122,NoTr,17,2522,2604,753,large,large
122,123,NoTr,11,2522,2604,754,large,large
123,124,NoTr,4,2522,2604,755,large,large
124,125,Tr,30,2522,2604,756,large,large
125,126,Tr,26,2522,2604,757,large,large
126,127,NoTr,9,2522,2604,228,large,large
127,128,Tr,13,2522,2604,758,large,large
128,129,NoTr,3,2522,2604,759,large,large
129,130,NoTr,17,2522,2604,760,large,large
130,131,Tr,17,2522,2604,761,large,large
131,132,NoTr,17,2522,2604,762,large,large
132,133,NoTr,14,2522,2604,763,large,large
133,134,Tr,10,2522,2604,764,large,large
134,135,NoTr,10,2522,2604,765,large,large
135,136,NoTr,7,2522,2604,766,large,large
136,137,Tr,24,2522,2604,767,large,large
137,138,NoTr,8,2522,2604,514,large,large
138,139,NoTr,10,2522,2604,1012,large,large
139,140,NoTr,7,2522,2604,1629,large,large
140,141,Tr,12,2522,2604,994,large,large
141,142,NoTr,8,2522,2604,1266,large,large
142,143,NoTr,7,2522,2604,1630,large,large
143,144,NoTr,20,2522,2604,1631,large,large
144,145,NoTr,10,2522,2604,1632,large,large
145,146,NoTr,4,2522,2604,1633,large,large
146,147,Tr,26,2522,2604,1548,large,large
147,148,NoTr,14,2522,2604,297,large,large
148,149,NoTr,10,2522,2604,456,large,large
149,150,NoTr,11,2522,2604,1634,large,large
150,151,Tr,22,2522,2604,832,large,large
151,152,Tr,31,2522,2604,1183,large,large
152,153,NoTr,8,2522,2604,482,large,large
153,154,NoTr,4,2522,2604,1635,large,large
154,155,NoTr,20,2522,2604,627,large,large
155,156,NoTr,25,2522,2604,1051,large,large
156,157,Tr,22,2522,2604,563,large,large
157,158,NoTr,5,2522,2604,1636,large,large
158,159,NoTr,21,2522,2604,584,large,large
159,160,NoTr,24,2522,2604,407,large,large
160,161,NoTr,5,2522,2604,147,large,large
161,162,NoTr,6,2522,2604,1794,large,large
162,163,Tr,5,2522,2604,805,large,large
163,164,NoTr,13,2522,2604,2144,large,large
164,165,NoTr,4,2522,2604,2161,large,large
165,166,NoTr,11,2522,2604,1030,large,large
166,167,Tr,9,2522,2604,2537,large,large
167,168,NoTr,18,2522,2604,887,large,large
168,169,NoTr,7,2522,2604,747,large,large
169,170,Tr,10,2522,2604,691,large,large
170,171,NoTr,24,2522,2604,1359,large,large
171,172,NoTr,10,2522,2604,1441,large,large
172,173,NoTr,35,2522,2604,168,large,large
173,174,NoTr,16,2522,2604,1751,large,large
174,175,Tr,11,2522,2604,2162,large,large
175,176,NoTr,9,2522,2604,2638,large,large
176,177,Tr,14,2522,2604,2639,large,large
177,178,NoTr,11,2522,2604,195,large,large
178,179,NoTr,29,2522,2604,36,large,large
179,180,NoTr,17,2522,2604,636,large,large
180,181,NoTr,19,2522,2604,1026,large,large
181,182,NoTr,14,2522,2604,484,large,large
182,183,NoTr,6,2522,2604,193,large,large
183,184,Tr,9,2522,2604,1664,large,large
184,185,NoTr,22,2522,2604,151,large,large
185,186,Tr,24,2522,2604,661,large,large
186,187,NoTr,5,2522,2604,1560,large,large
187,188,NoTr,13,2522,2604,973,large,large
188,189,NoTr,16,2522,2604,1248,large,large
189,190,NoTr,5,2522,2604,1667,large,large
190,191,Tr,36,2522,2604,787,large,large
191,192,NoTr,12,2522,2604,1013,large,large
192,193,NoTr,7,2522,2604,2546,large,large
193,194,NoTr,2,2522,2604,2669,large,large
194,195,NoTr,8,2522,2604,2606,large,large
195,196,NoTr,19,2522,2604,516,large,large
196,197,NoTr,1,2,2,2315,small,small
197,198,NoTr,5,2522,2604,2600,large,large
198,199,Tr,24,2522,2604,921,large,large
199,200,Tr,16,2522,2604,1397,large,large
200,201,Tr,12,2522,2604,2573,large,large
201,202,NoTr,1,2,2,2928,small,small
202,203,NoTr,5,2522,2604,1601,large,large
203,204,Tr,16,2522,2604,836,large,large
204,205,NoTr,10,2522,2604,2749,large,large
205,206,NoTr,5,2522,2604,21,large,large
206,207,NoTr,5,2522,2604,23,large,large
207,208,NoTr,6,2522,2604,24,large,large
208,209,Tr,23,2522,2604,25,large,large
209,210,Tr,22,2522,2604,26,large,large
210,211,Tr,20,2522,2604,351,large,large
211,212,NoTr,18,2522,2604,311,large,large
212,213,NoTr,10,2522,2604,968,large,large
213,214,NoTr,7,2522,2604,1496,large,large
214,215,NoTr,30,2522,2604,329,large,large
215,216,Tr,7,2522,2604,2059,large,large
216,217,Tr,27,2522,2604,849,large,large
217,218,NoTr,3,2522,2604,2060,large,large
218,219,NoTr,12,2522,2604,2061,large,large
219,220,Tr,12,2522,2604,1528,large,large
220,221,Tr,20,2522,2604,85,large,large
221,222,NoTr,22,2522,2604,358,large,large
222,223,Tr,20,2522,2604,320,large,large
223,224,NoTr,19,2522,2604,96,large,large
